Date,Code,Open,High,Low,Close,Preclose,Volume,Amount,adjustflag,Turn,tradestatus,pctChg,isST
2020-09-04,sh.601899,6.9200,7.1900,6.9100,7.0000,7.0600,223535260,1573107055.7800,3,1.138100,1,-0.849900,0
2020-09-07,sh.601899,7.1000,7.4300,6.9700,7.0900,7.0000,350756192,2530520459.8300,3,1.785900,1,1.285700,0
2020-09-08,sh.601899,6.9900,7.1200,6.7100,7.0400,7.0900,305837184,2109194439.3600,3,1.557200,1,-0.705200,0
2020-09-09,sh.601899,6.8400,6.9900,6.7100,6.7300,7.0400,233008778,1585961863.9700,3,1.186400,1,-4.403400,0
2020-09-10,sh.601899,6.9000,7.1700,6.8300,6.9800,6.7300,343475744,2407420871.1500,3,1.748800,1,3.714700,0
2020-09-11,sh.601899,6.9000,6.9600,6.7300,6.9100,6.9800,214292288,1466902454.7300,3,1.091100,1,-1.002900,0
2020-09-14,sh.601899,7.0000,7.2400,6.8500,7.1400,6.9100,286499184,2031960307.2700,3,1.458700,1,3.328500,0
2020-09-15,sh.601899,7.2000,7.2800,7.1100,7.1700,7.1400,237318149,1704384190.4300,3,1.208300,1,0.420200,0
2020-09-16,sh.601899,7.0500,7.1400,6.9200,7.0400,7.1700,168620765,1184866870.9800,3,0.858500,1,-1.813100,0
2020-09-17,sh.601899,6.9800,6.9900,6.7400,6.8000,7.0400,233631054,1594086151.3100,3,1.189500,1,-3.409100,0
2020-09-18,sh.601899,6.8600,7.0500,6.8200,7.0300,6.8000,220922464,1533430239.7400,3,1.124800,1,3.382400,0
2020-09-21,sh.601899,7.0200,7.1100,6.8300,6.8700,7.0300,198003684,1377199172.6900,3,1.008100,1,-2.276000,0
2020-09-22,sh.601899,6.6000,6.7700,6.5100,6.5600,6.8700,281916496,1871226401.1900,3,1.435400,1,-4.512400,0
2020-09-23,sh.601899,6.5800,6.6300,6.3800,6.4500,6.5600,256802497,1660748398.8700,3,1.307500,1,-1.676800,0
2020-09-24,sh.601899,6.2800,6.3000,6.0000,6.0200,6.4500,394361760,2413826183.3900,3,2.007900,1,-6.666700,0
2020-09-25,sh.601899,6.1300,6.2400,6.1000,6.2000,6.0200,220718804,1363147840.0600,3,1.123800,1,2.990000,0
2020-09-28,sh.601899,6.2200,6.2800,6.0900,6.1900,6.2000,155839487,966583391.3800,3,0.793500,1,-0.161300,0
2020-09-29,sh.601899,6.3200,6.4200,6.1600,6.1900,6.1900,208115087,1300959855.1300,3,1.059600,1,0.000000,0
2020-09-30,sh.601899,6.2500,6.2900,6.0700,6.1500,6.1900,160117715,988075369.2600,3,0.815300,1,-0.646200,0
2020-10-09,sh.601899,6.2500,6.2800,6.1500,6.2200,6.1500,255638892,1588025395.0800,3,1.301600,1,1.138200,0
2020-10-12,sh.601899,6.2400,6.5900,6.2400,6.5800,6.2200,283980144,1845566146.8500,3,1.445900,1,5.787800,0
2020-10-13,sh.601899,6.5400,6.6000,6.4200,6.5800,6.5800,143854706,938112526.3500,3,0.732400,1,0.000000,0
2020-10-14,sh.601899,6.4100,6.5400,6.3700,6.4900,6.5800,126964096,820486583.6200,3,0.646400,1,-1.367800,0
2020-10-15,sh.601899,6.5100,6.6700,6.4900,6.5600,6.4900,132363029,871390722.6600,3,0.673900,1,1.078600,0
2020-10-16,sh.601899,6.7000,6.8200,6.5600,6.5900,6.5600,164105665,1094957743.4000,3,0.835600,1,0.457300,0
2020-10-19,sh.601899,6.6000,6.7100,6.4800,6.6800,6.5900,146237282,970042975.2800,3,0.744600,1,1.365700,0
2020-10-20,sh.601899,6.7100,6.8200,6.5700,6.7500,6.6800,181648607,1221323953.8400,3,0.924900,1,1.047900,0
2020-10-21,sh.601899,6.8800,7.0400,6.8800,6.9700,6.7500,250975220,1747918619.6700,3,1.277900,1,3.259300,0
2020-10-22,sh.601899,6.9900,7.0000,6.8600,6.9600,6.9700,132248568,915540070.5200,3,0.673400,1,-0.143500,0
2020-10-23,sh.601899,6.8700,7.0300,6.8600,6.9100,6.9600,123050431,854363384.7100,3,0.626500,1,-0.718400,0
2020-10-26,sh.601899,6.9100,7.0700,6.7700,7.0400,6.9100,187101086,1301961102.8600,3,0.952600,1,1.881300,0
